"origin_city_name","total_flights","no_delay","dep_delay","arr_delay","cancelled","diverted","carrier_delay_count","weather_delay_count","nas_delay_count","security_delay_count","late_aircraft_delay_count","cancellation_code_a","cancellation_code_b","cancellation_code_c","cancellation_code_d"
"Scottsbluff, NE","607","398","87","168","20","1","34","5","9","0","22","0","16","4","0"
"Scranton/Wilkes-Barre, PA","2043","1265","517","643","27","7","183","24","116","0","166","4","18","5","0"
"Seattle, WA","163812","80066","60844","65318","986","385","16319","1219","17475","239","11257","608","349","27","2"
"Sheridan, WY","641","422","101","197","7","4","51","14","10","0","23","0","5","2","0"
"Shreveport, LA","3799","2113","1241","1348","47","10","426","117","285","10","329","4","32","10","1"
"Sioux City, IA","726","465","199","189","8","6","88","5","11","0","25","0","7","1","0"
"Sioux Falls, SD","6825","3907","2100","2242","108","9","603","172","567","3","489","22","80","6","0"
"Sitka, AK","1403","962","297","373","22","13","50","11","83","3","92","6","16","0","0"
"South Bend, IN","5819","3442","1749","1800","57","15","641","66","319","3","313","3","50","4","0"
"Spokane, WA","16556","9958","4833","5123","99","22","1076","216","1013","9","1121","52","44","3","0"
"Springfield, IL","401","207","163","144","9","1","58","9","43","0","22","0","9","0","0"
"Springfield, MO","7325","4093","2445","2547","53","16","707","200","634","9","629","15","32","6","0"
"St. Cloud, MN","118","57","39","41","3","0","3","1","17","0","6","0","2","1","0"
"St. George, UT","2616","1808","541","689","8","6","228","50","61","3","63","0","7","1","0"
"St. Louis, MO","61885","29303","27615","24241","574","121","6891","417","5618","52","8098","153","319","99","3"
"St. Petersburg, FL","7705","4752","2293","2533","29","21","589","273","766","8","750","4","15","10","0"
"State College, PA","1276","816","277","386","17","3","102","15","45","0","75","0","14","2","1"
"Stillwater, OK","725","533","101","164","15","1","79","10","8","1","9","0","15","0","0"
"Stockton, CA","536","111","370","403","3","0","110","14","188","8","203","0","2","1","0"
"Sun Valley/Hailey/Ketchum, ID","1680","1165","295","445","28","7","107","43","53","0","51","0","27","1","0"
"Syracuse, NY","13294","7644","4129","4197","257","18","1176","115","1285","5","1181","52","134","71","0"
"Tallahassee, FL","4925","3239","1232","1333","59","8","359","75","334","6","353","8","43","8","0"
"Tampa, FL","78663","41016","30603","27546","1188","172","8576","594","7438","33","9860","336","682","167","3"
"Texarkana, AR","1067","694","228","325","22","0","94","33","36","1","67","0","22","0","0"
"Toledo, OH","393","176","177","176","0","1","56","6","70","0","65","0","0","0","0"
"Traverse City, MI","3947","2324","1173","1304","56","11","359","79","408","2","319","15","35","6","0"
"Trenton, NJ","2253","1195","812","818","83","8","182","8","270","0","361","39","44","0","0"
"Tucson, AZ","16729","10299","4873","4905","97","35","1173","113","873","3","1345","21","69","6","1"
"Tulsa, OK","16219","9996","4399","4811","155","36","989","189","1029","4","1294","23","110","22","0"
"Twin Falls, ID","489","431","26","53","2","0","17","11","6","0","0","0","2","0","0"
"Tyler, TX","1061","554","287","441","25","0","121","20","42","0","68","0","25","0","0"
"Valdosta, GA","819","595","151","181","2","0","31","4","46","0","36","0","2","0","0"
"Valparaiso, FL","9068","5420","2818","2816","83","36","712","196","734","15","958","32","46","5","0"
"Vernal, UT","621","415","122","169","28","1","37","15","20","0","36","0","26","2","0"
"Victoria, TX","629","506","100","88","6","0","29","9","5","0","23","0","6","0","0"
"Waco, TX","1068","662","272","344","22","0","115","28","24","4","68","0","22","0","0"
"Walla Walla, WA","343","199","70","116","13","1","12","1","12","0","25","0","12","1","0"
"Washington, DC","189820","110289","59077","58872","2690","454","17558","1609","17460","163","16186","664","1454","559","13"
"Waterloo, IA","75","45","20","23","4","0","4","0","3","0","12","0","3","1","0"
"West Palm Beach/Palm Beach, FL","27095","13959","10489","10163","406","94","3585","332","3078","16","4356","183","142","78","3"
"West Yellowstone, MT","294","244","32","40","3","1","13","8","0","0","1","0","3","0","0"
"White Plains, NY","12915","7278","4368","4231","191","43","1557","230","1206","49","1083","57","113","21","0"
"Wichita Falls, TX","722","494","138","197","19","0","55","16","18","1","42","0","19","0","0"
"Wichita, KS","8595","5460","2215","2546","82","7","603","99","587","3","741","18","56","7","1"
"Williston, ND","1687","961","503","545","43","7","225","54","36","6","47","1","40","2","0"
"Wilmington, NC","7457","4967","1581","1948","161","19","341","107","525","4","551","16","82","62","1"
"Worcester, MA","1492","744","500","605","50","8","200","10","254","3","226","8","24","18","0"
"Wrangell, AK","724","491","175","190","16","8","19","8","49","0","83","5","11","0","0"
"Yakutat, AK","724","460","196","191","33","10","28","5","66","1","75","11","20","2","0"
"Yuma, AZ","1623","1108","391","371","13","8","117","15","40","2","70","1","12","0","0"
